this_week	last_week	end_2014	country	flag_url	name	player_url	avg_points	total_points	event_played_divisor	points_lost	points_gained	events_played_actual
1	1	1	NIR	http://www.owgr.com/styles/img/flags/NIR.png	Rory McIlroy	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10091	12.7748	625.97	49	-196.48	281.34	49
2	2	9	USA	http://www.owgr.com/styles/img/flags/USA.png	Jordan Spieth	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14636	11.0561	574.92	52	-120.85	398.60	58
3	7	19	USA	http://www.owgr.com/styles/img/flags/USA.png	Dustin Johnson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12422	6.9703	285.78	41	-84.03	210.86	41
4	5	6	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Justin Rose	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6093	6.6519	332.60	50	-144.04	148.88	50
5	4	4	USA	http://www.owgr.com/styles/img/flags/USA.png	Bubba Watson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7334	6.6375	292.05	44	-132.10	74.99	44
6	3	7	USA	http://www.owgr.com/styles/img/flags/USA.png	Jim Furyk	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=2881	6.6053	284.03	43	-120.86	113.48	43
7	6	2	SWE	http://www.owgr.com/styles/img/flags/SWE.png	Henrik Stenson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5994	6.4434	335.06	52	-190.95	102.51	52
8	10	8	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Jason Day	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9771	5.8956	235.83	40	-115.92	119.30	39
9	8	5	ESP	http://www.owgr.com/styles/img/flags/ESP.png	Sergio Garcia	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5689	5.8372	280.19	48	-134.46	79.83	48
10	9	10	USA	http://www.owgr.com/styles/img/flags/USA.png	Rickie Fowler	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12965	5.7031	296.56	52	-102.91	115.07	52
11	12	3	AUS	http://www.owgr.com/styles/img/flags/AUS.png	Adam Scott	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6430	5.3812	231.39	43	-149.97	57.53	43
12	11	21	USA	http://www.owgr.com/styles/img/flags/USA.png	Jimmy Walker	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7293	5.1720	268.94	52	-92.51	167.36	53
13	13	66	USA	http://www.owgr.com/styles/img/flags/USA.png	J.B. Holmes	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7959	4.7838	196.14	41	-31.71	146.86	41
14	14	16	JPN	http://www.owgr.com/styles/img/flags/JPN.png	Hideki Matsuyama	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13562	4.5179	234.93	52	-92.17	118.01	56
15	15	23	USA	http://www.owgr.com/styles/img/flags/USA.png	Patrick Reed	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=14838	4.2867	222.91	52	-82.78	123.05	56
16	27	45	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Louis Oosthuizen	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7672	4.0959	180.22	44	-43.39	104.81	44
17	18	11	USA	http://www.owgr.com/styles/img/flags/USA.png	Matt Kuchar	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6169	4.0794	212.13	52	-133.64	80.34	54
18	16	20	USA	http://www.owgr.com/styles/img/flags/USA.png	Chris Kirk	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12423	4.0178	208.92	52	-73.97	85.76	57
19	20	13	USA	http://www.owgr.com/styles/img/flags/USA.png	Billy Horschel	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11276	3.9624	206.04	52	-90.89	63.44	59
20	17	14	USA	http://www.owgr.com/styles/img/flags/USA.png	Phil Mickelson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=1547	3.8661	173.97	45	-115.33	89.21	45
21	19	12	GER	http://www.owgr.com/styles/img/flags/GER.png	Martin Kaymer	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8117	3.8582	200.63	52	-96.95	44.02	55
22	21	34	USA	http://www.owgr.com/styles/img/flags/USA.png	Brooks Koepka	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=16243	3.5948	186.93	52	-58.84	91.28	54
23	22	25	USA	http://www.owgr.com/styles/img/flags/USA.png	Kevin Na	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7452	3.4344	164.85	48	-46.98	76.13	48
24	23	39	USA	http://www.owgr.com/styles/img/flags/USA.png	Bill Haas	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7900	3.3552	174.47	52	-76.67	104.82	54
25	30	58	USA	http://www.owgr.com/styles/img/flags/USA.png	Brandt Snedeker	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8820	3.2768	170.39	52	-65.24	116.75	54
26	24	27	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Ian Poulter	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=1435	3.2058	150.67	47	-69.16	67.93	47
27	40	82	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Branden Grace	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11952	3.1950	166.14	52	-42.06	117.17	56
28	25	18	USA	http://www.owgr.com/styles/img/flags/USA.png	Zach Johnson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=6986	3.1521	163.91	52	-105.48	70.37	52
29	26	42	USA	http://www.owgr.com/styles/img/flags/USA.png	Ryan Palmer	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7820	3.1112	146.23	47	-55.61	67.68	47
30	28	26	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Lee Westwood	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4052	3.0526	158.73	52	-71.11	58.93	52
31	29	48	USA	http://www.owgr.com/styles/img/flags/USA.png	Gary Woodland	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12577	3.0020	156.10	52	-60.97	84.08	53
32	31	24	WAL	http://www.owgr.com/styles/img/flags/WAL.png	Jamie Donaldson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7084	2.9658	154.22	52	-74.79	50.33	54
33	32	30	USA	http://www.owgr.com/styles/img/flags/USA.png	Ryan Moore	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7489	2.9120	139.78	48	-64.56	50.20	48
34	33	37	THA	http://www.owgr.com/styles/img/flags/THA.png	Thongchai Jaidee	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5973	2.8707	149.28	52	-60.57	62.42	59
35	38	75	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Paul Casey	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7108	2.8489	148.14	52	-44.49	96.11	52
36	36	50	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Danny Willett	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=12920	2.8219	146.74	52	-38.72	59.99	55
37	34	17	FRA	http://www.owgr.com/styles/img/flags/FRA.png	Victor Dubuisson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10198	2.8193	129.69	46	-73.95	18.58	46
38	35	22	USA	http://www.owgr.com/styles/img/flags/USA.png	Hunter Mahan	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7636	2.8171	146.49	52	-79.34	37.67	52
39	46	31	RSA	http://www.owgr.com/styles/img/flags/RSA.png	Charl Schwartzel	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7398	2.8054	145.88	52	-78.67	66.70	60
40	39	28	USA	http://www.owgr.com/styles/img/flags/USA.png	Keegan Bradley	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=13872	2.7934	145.25	52	-78.11	58.72	53
41	37	72	AUT	http://www.owgr.com/styles/img/flags/AUT.png	Bernd Wiesberger	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=9531	2.7821	144.67	52	-50.41	96.12	57
42	41	43	USA	http://www.owgr.com/styles/img/flags/USA.png	Webb Simpson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11049	2.6911	134.55	50	-72.17	65.58	50
43	42	74	USA	http://www.owgr.com/styles/img/flags/USA.png	Charley Hoffman	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5768	2.6458	137.58	52	-43.24	83.83	52
